10:06 AM - 30 Nov 2015|I believe the leading causes of alcoholism are holiday dinners with the relatives 
1:51 PM - 5 Sep 2014|I think pat benatar should play professional tennis so Love Is A Battlefield would take on a whole new meaning 
1:40 PM - 5 Sep 2014|Found 1 47 cents in change in my ashtray That's enough for a 2 liter of coke or a megabus ticket to Birmingham 
8:08 AM - 5 Sep 2014|Amazing how every @DzWashington movie looks just as good every @RyanSeacrest show looks bad 
8:03 AM - 5 Sep 2014|Cincy Two shows tonight @leveefunnybone w @RodManComedy and @rayprice Come out and see us 
9:24 PM - 5 Jul 2012|Ugly people have kids to prove they've had sex 
8:32 PM - 4 Sep 2014|@chadthornsberry @RodManComedy @leveefunnybone @rayprice Brought the pain tonight 
7:36 PM - 4 Sep 2014|The first item on my bucket list is to not hear about what's on your bucket list 
7:35 PM - 4 Sep 2014|Equating the size of championship rings and engagement rings a rich 20 yr old married the 2013 Seahawks and my wife married the 1932 bears 
6:14 PM - 4 Sep 2014|I'm I remember Bowie Kuhn was commissioner of MLB years old 
7:17 PM - 4 Sep 2014|I'm going start mailing letters to people just so they think in in prison 
6:53 PM - 4 Sep 2014|Great show tonight @leveefunnybone with @RodManComedy and @rayprice Tickets going fast for fri sat and Sunday Come out and see us 
2:57 PM - 3 Sep 2014|Been listening to the Doors for 20 years Really should just oil the hinges 
11:51 AM - 3 Sep 2014|I think anybody that uses the phrase grammar nazi has a poor grasp of English AND History 
6:55 PM - 1 Sep 2014|Having popcorn and Kool Aid for a snack I haven't evolved much since I was 9 
3:42 AM - 12 Dec 2013|They can't all be winners folks - Me after every single Tweet 
10:06 PM - 31 Aug 2014|I'm watching DRESSED TO KILL Sherlock Holmes 1946 There is no possible way to make that sound cool 
4:09 PM - 27 Aug 2014|After 9 months and 347 pics of you being pregnant you REALLY only need to post one pic of the baby as proof We believe you 
9:31 AM - 30 Aug 2014|This football announcer's key to the game is to Stay Positive My keys are to limit turnovers and to turn that frown upside down 
9:25 AM - 30 Aug 2014|Opening day of college football I like going to Buffalo Wild Wings and asking if they can put foreign figure skating on the big screen 
9:23 AM - 30 Aug 2014|My parents wouldn't let me grow long hair in high school Which means I can make fun of all my friends mullet pictures Thanks mom and dad 
9:15 AM - 30 Aug 2014|If you are the only person in your motorcycle gang that rides a trike Maybe you shouldn't be in any type of gang 
8:05 AM - 30 Aug 2014|One more show tonight @ 730 Cedar Rapids Come check out me working with the funny Scott Novotny @PenguinsComedy 
12:01 PM - 29 Aug 2014|We go together like peanut butter and a severe peanut allergy 
11:00 AM - 29 Aug 2014|Keep telling me your lying drunk stories I'm telling you honest sober ones Wow Asian twins Listen what happened last night on Fraiser 
4:32 AM - 28 Jul 2014|Gay joke in three two One Direction 
7:41 AM - 29 Aug 2014|7 30 show tonight @PenguinsComedy Come out Good show with the funny Scott Novotny 
7:27 AM - 29 Aug 2014|If I ever meet Jennifer aniston I'm going to ask her hey aren't you that one girl that was in Leprechaun 
1:29 AM - 5 Feb 2013|Dude from grade 5 just sent me a friend request on Facebook What the fuck are we going to talk about Hey Brad still super into recess 
7:08 AM - 29 Aug 2014|If you're someone that has told me I got your back I'd rather be by myself 
12:06 PM - 27 Aug 2014|Energetic people who say I'll sleep when I'm dead are already dead to me 
5:31 AM - 29 Aug 2014|Abercrombie Fitch is getting rid of their logo on clothing which means it's going to be harder for me to spot which people to avoid 
6:59 AM - 29 Aug 2014|Why when you see someone driving at 10 and 2 do you automatically assume they are a horrible driver 
6:48 PM - 25 Aug 2014|I walked into a Hot Topic wearing a Misfits shirt and a temporary tattoo my kid put on me and they made me their regional manager 
4:03 PM - 26 Aug 2014|Not to brag or anything but I am kinda the poster child of anybody can get into college 
3:42 PM - 28 Aug 2014|Got a seat belt ticket in Cedar Rapids for 127 dollars Nice to know I'm in a city that doesn't have real crime 
3:21 PM - 28 Aug 2014|Airline Agent Your flight comes to 3624 36 Me haha only if I'm 5 3 Agent What Me baby got back 
4:18 AM - 28 Aug 2014|I've lowered my blood pressure by lowering my expectations 
6:29 AM - 28 Aug 2014|If no one can defend Crane Technique why didn't Mr Miuyagi just teach Daniel that I think he just wanted his cars waxed his fence painted 
12:54 PM - 12 Jan 2014|If it walks like a duck and it looks like a duck the chances are she's practising for her next selfie 
4:21 PM - 15 Aug 2014|Possible Tic-Tac-Toe results a it's a tie b you're an idiot 
2:51 PM - 21 Aug 2014|Single ladies stop saying you should just give up and get a cat If no man wants you don't force an innocent cat to live with you 
3:03 PM - 26 Aug 2014|Week starts tomorrow @DiamondJoDBQ the Friday and Saturday @PenguinsComedy in Cedar Rapids 
7:22 AM - 22 Aug 2014|I hate when people use foreign phrases to sound smart I guess I should let them do what they want Like I always say c'est La vie 
10:51 AM - 19 Aug 2014|Sometimes you've gotta just listen to some Bel Biv Devoe and say fuck it 
5:13 AM - 22 Aug 2014|I'm the kind of handyman that keeps a butter knife in his toolbox 
7:34 AM - 20 Aug 2014|If you eliminate tweets about anything sexual music and bacon Twitter would shut down But then again do would society 
3:50 PM - 19 Aug 2014|How much for her Pimp 500 Woah why so much Pimp Cause every little thing she does is magic OH SHIT IT'S THE POLICE 
